타임스탬프,효용성1,효용성2,효용성3,감정공감1,감정공감2,감정공감3,신뢰성1,신뢰성2,신뢰성3,신뢰성4,몰입감1,몰입감2,몰입감3,성별,나이,제작주체,서사성,그룹,장르선호,나이
11:44.9,4,4,3,4,5,3,5,1,5,5,1,1,5,남자,21,AI,서사,AI_서사,5,21
10:07.9,6,6,5,6,5,5,3,3,3,4,6,6,6,남자,20,AI,서사,AI_서사,5,20
04:14.0,2,3,3,3,3,3,5,4,3,6,3,3,2,남자,23,AI,서사,AI_서사,1,23
13:39.6,5,5,3,5,5,5,4,5,4,4,3,4,5,여자,20,AI,서사,AI_서사,5,20
05:19.7,4,6,5,4,4,5,3,4,2,2,6,4,3,여자,20,AI,서사,AI_서사,4,20
05:21.1,6,6,4,2,4,2,3,3,3,3,4,5,5,여자,19,AI,서사,AI_서사,6,19
09:15.7,5,7,6,6,6,6,7,4,3,4,5,4,3,여자,20,AI,서사,AI_서사,6,20
25:06.0,3,5,3,4,4,3,2,3,4,4,4,4,4,여자,20,AI,서사,AI_서사,5,20
48:49.0,6,4,5,5,4,3,5,5,3,4,4,2,3,여자,19,AI,서사,AI_서사,5,19
05:55.3,2,2,1,1,1,1,6,3,3,2,2,5,4,남자,22,AI,서사,AI_서사,2,22
18:19.2,4,5,4,6,6,6,6,6,4,5,5,5,5,여자,20,AI,서사,AI_서사,3,20
22:28.3,4,4,3,5,5,5,5,4,4,4,4,4,4,여자,20,AI,서사,AI_서사,4,20
23:05.5,2,3,3,1,2,1,5,4,1,2,1,1,1,여자,21,AI,서사,AI_서사,2,21
27:45.3,4,5,2,3,3,3,5,5,2,2,6,5,5,여자,19,AI,서사,AI_서사,3,19
55:58.3,5,5,5,3,3,3,3,2,2,4,2,3,3,여자,21,AI,서사,AI_서사,4,21
16:41.8,3,2,2,5,5,5,7,7,6,6,5,3,4,남자,21,AI,서사,AI_서사,1,21
18:04.0,4,2,2,3,2,2,4,3,3,3,2,2,2,여자,22,AI,서사,AI_서사,4,22
31:17.7,7,7,7,4,7,7,7,7,7,7,3,7,7,여자,22,AI,서사,AI_서사,1,22
41:02.9,5,4,4,4,5,4,4,3,2,3,3,3,2,남자,23,AI,서사,AI_서사,5,23
27:56.6,3,3,2,4,4,4,3,1,1,4,1,1,1,여자,19,AI,서사,AI_서사,2,19
33:26.0,4,5,3,5,4,4,7,3,2,2,5,5,4,여자,21,AI,서사,AI_서사,3,21
20:12.7,6,6,4,5,3,2,4,2,3,2,4,2,1,남자,21세,AI,서사,AI_서사,6,21
21:16.7,4,3,3,5,5,3,5,2,2,3,3,2,2,여자,22,AI,서사,AI_서사,3,22
26:28.6,4,4,4,5,4,4,4,4,3,4,5,5,5,남자,22,AI,서사,AI_서사,5,22
29:42.0,1,1,1,3,2,2,5,3,3,1,2,1,1,여자,20,AI,서사,AI_서사,1,20
52:52.4,7,7,7,7,7,7,7,7,7,7,7,7,7,남자,23,AI,서사,AI_서사,7,23
55:45.5,4,3,2,1,1,1,1,1,2,3,1,1,2,남자,26,AI,서사,AI_서사,7,26
09:40.3,2,2,2,2,2,2,5,1,1,1,1,1,1,남자,26,AI,서사,AI_서사,1,26
12:28.2,2,2,2,2,2,2,2,2,2,2,2,2,2,남자,23,AI,서사,AI_서사,6,23
15:22.9,4,6,3,6,7,5,2,2,4,6,7,5,6,남자,21,AI,서사,AI_서사,7,21
03:30.5,3,6,1,5,5,4,6,4,5,6,4,4,5,남자,20,AI,비서사,AI_비서사,2,20
16:26.8,4,5,4,5,2,2,5,4,5,2,5,1,2,여자,19,AI,비서사,AI_비서사,5,19
21:00.7,2,1,1,1,1,1,6,2,1,3,5,5,6,여자,20,AI,비서사,AI_비서사,1,20
36:21.0,2,2,2,2,2,3,4,2,1,2,1,5,2,여자,21,AI,비서사,AI_비서사,1,21
42:40.0,5,7,4,5,5,2,4,2,2,5,4,6,7,여자,24,AI,비서사,AI_비서사,5,24
06:16.3,2,5,2,3,3,3,5,4,1,5,3,3,4,남자,23,AI,비서사,AI_비서사,2,23
12:58.8,3,2,1,2,1,4,3,2,3,4,5,4,5,여자,20,AI,비서사,AI_비서사,6,20
14:44.9,4,4,4,3,3,3,5,5,3,4,4,4,3,남자,20,AI,비서사,AI_비서사,2,20
14:49.7,7,7,7,7,7,7,7,7,7,7,7,7,7,여자,20,AI,비서사,AI_비서사,6,20
22:10.1,3,4,2,3,3,3,6,4,2,4,4,5,4,남자,19,AI,비서사,AI_비서사,3,19
30:55.2,4,4,3,3,2,1,7,3,1,2,3,3,1,여자,19,AI,비서사,AI_비서사,6,19
31:46.3,4,4,5,5,4,4,6,7,5,5,7,5,5,여자,20,AI,비서사,AI_비서사,7,20
46:10.6,3,3,1,2,4,4,2,1,1,7,4,5,6,남자,23,AI,비서사,AI_비서사,7,23
09:19.2,3,3,3,4,3,4,2,2,3,3,3,3,2,여자,20,AI,비서사,AI_비서사,5,20
20:25.8,3,3,5,4,5,3,4,5,5,3,3,4,5,남자,21,AI,비서사,AI_비서사,7,21
30:41.7,4,3,6,5,4,6,4,6,3,5,2,5,6,남자,20,AI,비서사,AI_비서사,1,20
42:19.6,4,3,2,2,2,2,3,2,2,3,3,2,3,남자,23,AI,비서사,AI_비서사,2,23
45:57.7,1,2,1,5,3,3,6,3,3,4,6,7,7,여자,23,AI,비서사,AI_비서사,1,23
48:47.7,5,5,5,5,5,5,5,3,2,5,5,5,5,여자,21,AI,비서사,AI_비서사,6,21
00:06.1,5,4,2,3,4,5,6,5,2,4,6,5,3,여자,22,AI,비서사,AI_비서사,5,22
21:43.4,5,6,4,7,7,7,7,5,7,7,7,7,7,남자,24,AI,비서사,AI_비서사,5,24
27:49.8,5,6,2,5,5,5,6,5,2,5,5,3,2,여자,21,AI,비서사,AI_비서사,3,21
15:39.7,2,2,2,3,3,3,4,4,3,4,4,3,3,남자,19,AI,비서사,AI_비서사,5,19
54:12.2,1,1,1,1,4,1,4,4,3,4,1,1,1,여자,22,AI,비서사,AI_비서사,6,22
52:18.7,4,4,1,7,3,4,7,1,1,1,5,1,1,남자,26,AI,비서사,AI_비서사,1,26
53:46.8,7,7,7,7,7,7,7,7,7,7,7,7,7,남자,22,AI,비서사,AI_비서사,2,22
08:41.4,5,7,4,5,5,2,5,1,1,1,2,5,1,남자,26,AI,비서사,AI_비서사,1,26
35:45.4,7,6,6,6,6,6,5,4,5,5,6,5,5,여자,20,AI,비서사,AI_비서사,7,20
13:06.6,6,6,6,6,6,6,6,6,6,6,6,6,6,남자,23,AI,비서사,AI_비서사,6,23
16:12.0,5,5,2,5,5,4,6,6,6,5,5,6,6,여자,20,AI,비서사,AI_비서사,5,20
59:04.6,1,2,1,1,2,2,3,1,4,3,3,3,3,여자,만 21세,AI,비서사,AI_비서사,6,21
15:58.4,7,7,7,7,7,7,7,7,7,7,7,7,7,남자,20,인간,서사,인간_서사,7,20
23:54.5,5,5,4,5,5,4,5,4,2,4,4,6,3,여자,21,인간,서사,인간_서사,3,21
47:31.7,5,5,1,5,5,5,5,5,1,5,5,2,5,여자,21,인간,서사,인간_서사,5,21
56:15.1,2,3,2,4,1,2,5,5,5,6,5,4,2,여자,19세,인간,서사,인간_서사,2,19
16:50.8,4,4,3,4,4,5,5,3,4,3,4,3,3,여자,20,인간,서사,인간_서사,5,20
02:28.1,2,2,2,4,4,5,6,6,2,4,1,2,2,여자,20,인간,서사,인간_서사,2,20
13:52.9,5,6,4,7,7,7,7,7,6,7,6,6,6,여자,22,인간,서사,인간_서사,5,22
57:51.5,4,6,2,5,4,2,5,4,5,4,3,3,2,남자,23,인간,서사,인간_서사,1,23
11:58.9,6,6,4,7,7,7,7,7,5,7,6,6,5,여자,21,인간,서사,인간_서사,6,21
18:20.6,5,4,3,5,4,4,7,7,3,6,3,4,3,여자,21,인간,서사,인간_서사,1,21
51:19.1,6,7,6,7,7,7,7,7,7,7,7,7,7,여자,22,인간,서사,인간_서사,2,22
43:07.4,2,2,2,4,3,2,3,2,3,4,4,3,2,여자,만 20세,인간,서사,인간_서사,3,20
37:46.1,6,6,6,6,6,6,6,6,4,5,6,6,5,남자,23,인간,서사,인간_서사,6,23
51:35.5,4,4,3,5,5,5,5,5,4,5,4,5,4,여자,25,인간,서사,인간_서사,5,25
44:11.4,6,6,5,7,6,6,5,6,6,6,7,7,7,남자,20,인간,서사,인간_서사,7,20
58:05.5,7,7,7,7,7,7,5,5,5,5,6,6,4,남자,26,인간,서사,인간_서사,7,26
11:28.1,2,2,2,2,2,2,7,7,6,6,1,1,1,남자,26,인간,서사,인간_서사,1,26
10:58.4,6,6,6,6,6,6,6,6,6,6,6,6,6,남자,23,인간,서사,인간_서사,6,23
16:08.4,4,3,3,5,5,6,4,6,2,6,7,5,6,여자,20세,인간,서사,인간_서사,3,20
37:11.2,3,3,3,3,3,3,3,3,3,3,3,3,3,여자,20,인간,서사,인간_서사,3,20
00:11.6,5,5,4,6,6,6,5,5,5,5,6,6,6,여자,20,인간,서사,인간_서사,5,20
55:38.8,7,7,4,7,7,7,4,6,2,4,7,6,6,남자,22세,인간,서사,인간_서사,6,22
56:34.9,6,6,4,6,5,6,4,7,4,6,6,5,6,여자,20세 ,인간,서사,인간_서사,4,20
35:31.2,3,4,5,2,3,3,2,3,2,2,3,4,4,여자,22,인간,서사,인간_서사,2,22
16:08.3,2,3,3,5,3,6,7,5,7,6,4,2,2,남자,22,인간,비서사,인간_비서사,2,22
36:16.3,2,2,1,3,3,3,5,3,3,3,2,3,1,여자,20,인간,비서사,인간_비서사,1,20
20:15.8,5,5,2,4,5,5,7,7,7,7,4,3,2,여자,21,인간,비서사,인간_비서사,4,21
00:32.5,2,6,3,4,3,3,5,4,6,6,2,3,2,남자,23,인간,비서사,인간_비서사,2,23
02:00.7,3,5,2,1,1,2,5,3,4,4,5,4,3,여자,19,인간,비서사,인간_비서사,3,19
06:45.3,5,5,4,4,3,3,7,7,7,7,6,6,6,여자,21,인간,비서사,인간_비서사,6,21
12:57.1,4,4,4,1,2,2,5,2,2,2,2,6,2,남자,25,인간,비서사,인간_비서사,3,25
35:54.5,5,5,4,5,4,4,5,4,5,4,4,4,3,여자,19,인간,비서사,인간_비서사,5,19
50:53.2,5,6,4,4,4,4,7,7,7,6,5,5,5,여자,21,인간,비서사,인간_비서사,4,21
38:32.6,2,2,2,2,2,2,2,2,3,2,2,2,2,남자,23,인간,비서사,인간_비서사,2,23
05:49.9,6,5,5,5,5,5,6,6,6,6,6,5,5,여자,만19세,인간,비서사,인간_비서사,6,19
08:11.3,6,6,4,4,4,4,7,5,4,7,7,7,7,여자,21,인간,비서사,인간_비서사,5,21
59:39.8,5,5,3,5,5,2,6,6,5,7,6,4,2,남자,19,인간,비서사,인간_비서사,4,19
57:12.1,1,1,1,1,1,1,7,4,3,3,1,2,2,남자,26,인간,비서사,인간_비서사,1,26
10:20.2,1,1,1,1,1,1,6,1,1,1,1,1,1,남자,26,인간,비서사,인간_비서사,1,26
11:36.7,6,6,6,6,6,6,6,6,6,6,6,6,6,남자,23,인간,비서사,인간_비서사,6,23
13:29.0,3,5,2,1,2,1,7,7,6,4,4,2,3,남자,22세,인간,비서사,인간_비서사,5,22
36:31.1,3,3,3,3,3,3,3,3,3,3,3,3,3,여자,20,인간,비서사,인간_비서사,2,20
59:15.2,6,6,4,5,5,6,6,6,6,6,6,6,5,여자,20,인간,비서사,인간_비서사,6,20
53:20.0,2,6,3,1,1,3,7,7,7,5,7,6,5,여자,22세,인간,비서사,인간_비서사,7,22
54:41.3,3,5,4,4,4,3,7,6,5,7,4,4,5,여자,20세,인간,비서사,인간_비서사,5,20
59:02.2,4,7,3,2,3,3,7,7,7,7,6,6,6,여자,19세,인간,비서사,인간_비서사,6,19
05:57.5,4,6,6,4,6,7,7,6,7,7,5,5,5,여자,24,인간,비서사,인간_비서사,6,24
58:27.6,5,4,2,4,3,3,5,4,3,3,5,5,1,여자,20,인간,비서사,인간_비서사,6,20
